aDate;aDateEpochUnix;bTweetText;bTweetTextLang;cFromWhom;cToWhom;dataTweetId;dataPermalinkPath;dataUserId;dataName;dataScreenName;eProfileTweetActionReply;eProfileTweetActionRetweet;eProfileTweetActionFavorite;fSearchedWithThisKeyword
11 Mar 2014;1394558523;Plainte contre la pollution de l'air : les pouvoirs publics se défendent http://bit.ly/1i9sxwl  #Environnement;fr;sebrioux ;@sebrioux;443436704465055744;https://twitter.com/sebrioux/status/443436704465055744;70195924;sebrioux;sebrioux;;;;pollution OR pollutions
11 Mar 2014;1394558514;Pollution de l'air: vigilance orange dans la Manche et le Calvados http://ift.tt/Pp13ZO ;fr;Talents de Bourgogne ;@tdf_bourgogne;443436668008542208;https://twitter.com/tdf_bourgogne/status/443436668008542208;1225416546;Talents de Bourgogne;tdf_bourgogne;;;;pollution OR pollutions
11 Mar 2014;1394558513;Alerte à la pollution de l'air en Poitou-Charentes http://ift.tt/Pp10NF ;fr;Talents de Bourgogne ;@tdf_bourgogne;443436659879976960;https://twitter.com/tdf_bourgogne/status/443436659879976960;1225416546;Talents de Bourgogne;tdf_bourgogne;;;;pollution OR pollutions
11 Mar 2014;1394558459;Pollution : vitesse réduite sur les routes et contrôles radar http://fb.me/6JhJpcZJ2 ;fr;infosreg ;@infosreg;443436434729762816;https://twitter.com/infosreg/status/443436434729762816;1239366186;infosreg;infosreg;;;;pollution OR pollutions
11 Mar 2014;1394558456;Pollution : vitesse réduite sur les routes et contrôles radar: Le bassin Lyonnais et le Nord-Isère sont en ale... http://bit.ly/1i9shO3 ;fr;infosreg ;@infosreg;443436424247771136;https://twitter.com/infosreg/status/443436424247771136;1239366186;infosreg;infosreg;;;;pollution OR pollutions
11 Mar 2014;1394558389;#Santé Pollution atmosphérique : une ONG porte plainte pour mise en danger d’autrui http://goo.gl/Pw3ThM ;fr;The Newsroom ;@TheNewsroom_;443436143481090048;https://twitter.com/TheNewsroom_/status/443436143481090048;1921263282;The Newsroom;TheNewsroom_;;;;pollution OR pollutions
11 Mar 2014;1394558379;Pollution atmosphérique : une ONG porte plainte pour mise en danger d’autrui http://goo.gl/AyGVNU  par le QDM;fr;MT3D ;@mt3d_fr;443436098291634176;https://twitter.com/mt3d_fr/status/443436098291634176;383702000;MT3D;mt3d_fr;;;;pollution OR pollutions
11 Mar 2014;1394558375;"Ils polluent, on paie ! #Racket ""@Le_Progres: Rhône | Pollution : vitesse réduite sur les routes et contrôles radar http://www.leprogres.fr/rhone/2014/03/11/pollution-vitesse-reduite-sur-les-routes-et-controles-radar …""";fr;Maxime Martin ;@MxeMartin;443436082001379328;https://twitter.com/MxeMartin/status/443436082001379328;380545906;Maxime Martin;MxeMartin;;;;pollution OR pollutions
11 Mar 2014;1394558144;Pollution aux particules : plusieurs r égions Fran çaises touch ées  http://www.developpement-durable.gouv.fr/Pollution-aux-particules-plusieurs.html …;fr;Bertrand Renier ;@Bertrand_Renier;443435114845175808;https://twitter.com/Bertrand_Renier/status/443435114845175808;2195913336;Bertrand Renier;Bertrand_Renier;;;;pollution OR pollutions
11 Mar 2014;1394558120;Illinois Cut Pollution Equivalent Of A Million Cars  http://www.huffingtonpost.com/2014/03/07/illinois-renewable-energy_n_4920650.html …  #globalwarming #climatechange #climate #energy #green;fr;#FreeThe3 #OpNimr ;@Kaidinn;443435013619867649;https://twitter.com/Kaidinn/status/443435013619867649;1891942975;#FreeThe3 #OpNimr;Kaidinn;;;;pollution OR pollutions
